city,mhhi,revtotal,exputility,expdebtservice,exptransportation,expgov,exppubsafety,expother,exptotal,pcrevtotal,pcexputility,pcexpdebt,pcexptransportation,pcexpgov,pcexppubsafety,pcexpother,pcexptotal,citypop,latitude,longitude,pop11,pop12,tarea,popden10,mhhi12,poverty12,hs12,crinc11,crinc12,mage12
ROSMAN,23158,485222,321626,12450,16484,163821,0,18788,533169,837,555,21,28,282,0,32,919,580,35.14476,-82.822792,661,716,0.51,1134.5,18368,41.5,74.400002,,,40.5
ROWLAND,22545,1466073,338755,82085,215481,243714,488469,147829,1516333,1418,328,79,208,236,472,143,1466,1034,34.535358,-79.292549,1053,981,1.05,985.5,22050,34.799999,71.199997,56,55,44.799999
ROXOBEL,38125,126625,22502,0,29612,41505,7275,22521,123415,541,96,0,127,177,31,96,527,234,36.202709,-77.237556,398,263,1.04,230.100006,38304,29.299999,60.799999,,,51
RURAL HALL,44808,2238854,4524,120387,751722,408300,717941,311772,2314646,752,2,40,253,137,241,105,778,2976,36.232342,-80.293739,2913,2939,2.86,1029.800049,46352,3.8,89.400002,,,44.700001
RUTH,32969,144346,0,0,20015,67280,22313,24828,134436,324,0,0,45,151,50,56,301,446,35.383221,-81.943367,406,338,0.42,1036.800049,40385,11.5,76.300003,,,48.400002
RUTHERFORD COLLEGE,46833,1347935,487415,151502,57873,519483,0,201336,1417609,1004,363,113,43,387,0,150,1056,1343,35.745831,-81.52874,1169,1267,2.26,593,47596,7.6,78.5,,,41.900002
RUTHERFORDTON,55000,4035067,401030,381014,348532,431027,1367422,1172308,4101333,951,95,90,82,102,322,276,967,4243,35.36631,-81.959023,4207,4215,4.13,1019.799988,48259,15.7,82.599998,147,113,45.799999
SAINT HELENA,32361,129116,0,0,13775,118959,34918,39607,207259,325,0,0,35,300,88,100,522,397,34.513222,-77.914833,564,471,5.64,69,43214,6.6,93.400002,,,47.099998
SALEMBURG,39200,576357,219357,0,28120,105542,63447,107279,523745,1322,503,0,64,242,146,246,1201,436,35.01601,-78.504204,619,553,0.98,446,39018,13.4,85.300003,,,53.400002
SALISBURY,35845,68373803,29153790,10735222,5537634,9121412,11692748,5613143,71853949,2029,865,319,164,271,347,167,2132,33704,35.668289,-80.478477,33325,33548,22.139999,1520.300049,35843,25,79.900002,2487,2147,35.400002
SALUDA,55833,1606864,557620,116127,116307,372251,317064,87633,1567002,2276,790,164,165,527,449,124,2220,706,35.237862,-82.34687,642,649,1.56,457,42813,7.7,84.699997,,,58.599998
SANDY CREEK,46250,210530,96900,21954,11586,92961,3915,0,227316,794,366,83,44,351,15,0,858,265,34.287201,-78.153267,286,421,1.26,205.600006,40000,16.6,83.699997,,,32.299999
SANDYFIELD,33571,252473,30313,0,20427,106245,38906,988,196879,565,68,0,46,238,87,2,440,447,34.36618,-78.304703,451,524,3.46,129.699997,34583,14,92.5,,,27.200001
SANFORD,41096,45580701,9391138,2885718,2215920,4347307,12427151,6011235,37278469,1612,332,102,78,154,439,213,1318,28280,35.47588,-79.175461,27503,28081,27.040001,1048.800049,40805,22.1,75.400002,1042,902,33.400002
SARATOGA,50750,1169201,888573,0,1226,87292,7000,129619,1113710,2866,2178,0,3,214,17,318,2730,408,35.653629,-77.776489,461,424,0.64,635.799988,34886,21,74.599998,,,32.700001
SAWMILLS,41713,2707447,478103,75950,528960,824531,0,364249,2271793,518,91,15,101,158,0,70,435,5227,35.818562,-81.479881,5211,5200,6.62,791.799988,40345,19.299999,71.300003,,,39.200001
SCOTLAND NECK,22203,7238615,5486124,68081,601328,343109,474989,286613,7260244,3528,2674,33,293,167,231,140,3538,2052,36.13044,-77.420959,2559,2276,1.19,1733.300049,21354,42.099998,62.599998,125,119,44.700001
SEABOARD,26625,690609,207162,28212,95369,169338,157969,0,658050,1109,333,45,153,272,254,0,1056,623,36.489491,-77.439247,926,836,0.96,656.299988,20750,31.700001,74.5,,,41.299999
SEAGROVE,34688,210430,0,0,15636,71993,112500,27736,227865,923,0,0,69,316,493,122,999,228,35.542171,-79.778107,176,194,1.04,220.100006,36875,17.1,77,,,49.5
SEDALIA,43409,184067,0,10665,13070,77734,1662,50730,153861,293,0,17,21,124,3,81,245,629,36.078411,-79.627441,671,717,2.09,298.399994,41875,6.3,82.5,,,46.200001
SELMA,22717,16014896,9938228,651500,637140,631712,2152127,1917960,15928667,2618,1624,106,104,103,352,313,2604,6118,35.53698,-78.284653,6111,6125,4.85,1252.800049,23183,43.900002,69.099998,479,466,33.400002
SEVEN DEVILS,63929,1435849,103848,165091,366577,362814,465702,2546,1466578,7401,535,851,1890,1870,2401,13,7560,194,36.151958,-81.807297,200,198,2.11,91.5,71250,5.6,98.199997,,,58.5
SEVEN SPRINGS,51250,178766,156858,3633,14910,29337,1718,4426,210882,1611,1413,33,134,264,15,40,1900,111,35.22625,-77.845757,123,89,0.33,328.899994,53750,23,85.699997,,,45.900002
SEVERN,36964,365664,142257,0,94276,107917,10409,0,354859,1339,521,0,345,395,38,0,1300,273,36.513168,-77.188782,312,263,1.01,273,31875,25.1,71.699997,,,58.400002
SHALLOTTE,46343,6936279,2343501,146623,400311,787979,2030584,104952,5813950,1833,619,39,106,208,536,28,1536,3785,33.977032,-78.392517,3523,3642,9.36,395.600006,44181,13,85.699997,229,193,40.799999
SHARPSBURG,29167,9914847,3216688,1096295,374655,213247,556776,2239600,7697261,4911,1593,543,186,106,276,1109,3812,2019,35.866341,-77.830963,2070,1974,1.01,1996.599976,28053,27.299999,82.300003,,,32.599998
SHELBY,33408,58454889,28718714,2185977,3310083,4467756,9512163,4224864,52419557,2873,1412,107,163,220,468,208,2576,20346,35.288269,-81.537788,20377,20331,21.110001,964.299988,31795,27.200001,85.199997,955,1043,40.799999
SILER CITY,33305,9013072,2991901,832892,1032879,751136,2192288,1100475,8901571,1135,377,105,130,95,276,139,1121,7939,35.726028,-79.462959,7869,7967,6.02,1314.199951,34673,16.299999,61,393,370,31.799999
SIMPSON,38516,280361,0,4753,14162,116733,63120,68094,266862,671,0,11,34,279,151,163,638,418,35.575211,-77.278519,344,373,0.37,1117,34861,15.8,71.900002,,,42.200001
SIMS,56143,246207,58542,0,11585,62440,1813,22593,156973,876,208,0,41,222,6,80,559,281,35.760029,-78.058777,432,296,0.17,1614.5,53250,16.6,87.099998,,,33.599998
SMITHFIELD,34781,46179156,22699367,2510717,2574473,1396292,4643568,4280490,38104907,4192,2061,228,234,127,422,389,3459,11016,35.509129,-78.346458,11018,11118,12.13,904.700012,30243,30.1,76.699997,921,864,42.799999
SNOW HILL,30724,2139152,774687,106177,352798,206361,204044,303373,1947440,1334,483,66,220,129,127,189,1215,1603,35.446609,-77.673233,2360,2263,1.55,1029.199951,27895,30.6,75.5,,,46.299999
SOUTHERN PINES,43650,21195384,7873036,1124079,1215914,3571957,5797096,3767466,23349548,1695,630,90,97,286,464,301,1868,12502,35.181889,-79.398277,12244,12439,16.82,741,45376,12,89,559,596,45.200001
SOUTHERN SHORES,77069,5784435,0,0,583208,1079691,1846625,1246307,4755831,2109,0,0,213,394,673,454,1734,2743,36.124451,-75.732613,2683,2707,4.15,687.5,79853,4,95.400002,69,80,53.799999
SPARTA,22778,2311159,944409,40021,56091,464764,472233,474289,2451807,1316,538,23,32,265,269,270,1396,1756,36.505638,-81.121719,1864,1953,2.41,738.099976,24808,28.4,73.5,51,,47.900002
SPEED,35417,27820,0,0,0,15387,0,6441,21828,348,0,0,0,192,0,81,273,80,35.969978,-77.444077,99,98,0.28,282.600006,38750,0,74.099998,,,54.400002
SPENCER,42819,2496242,0,265723,329489,292902,921235,456139,2265488,766,0,82,101,90,283,140,695,3258,35.693668,-80.431908,3292,3277,3.06,1066,37763,31.299999,78.199997,237,199,35.900002
SPINDALE,31189,3542773,660814,182374,235515,237931,1128115,601862,3046611,814,152,42,54,55,259,138,700,4350,35.358349,-81.92527,4294,4302,5.35,808.400024,27165,19.1,79.800003,,,37.799999
SPRING LAKE,34923,10148584,2631305,609330,491704,1445065,3375842,1872693,10425939,852,221,51,41,121,283,157,875,11914,35.177589,-78.975502,11943,12465,23.26,518.799988,35560,24.6,91.199997,627,,23.6
SPRUCE PINE,35714,5194306,1606249,56855,73740,712080,867453,90931,3407308,2382,736,26,34,326,398,42,1562,2181,35.913738,-82.07,2399,2424,3.98,546.700012,28906,25,77.900002,61,73,43.099998
STALEY,27500,118937,0,0,23389,30695,19068,52087,125239,299,0,0,59,77,48,131,315,398,35.794762,-79.551117,505,590,1.16,340,27361,36.299999,63.099998,,,29.299999
STALLINGS,78636,5779881,212827,844178,396646,849474,1826922,3220627,7350674,407,15,59,28,60,129,227,517,14207,35.089321,-80.686813,13177,13638,7.97,1748.800049,79304,5.4,92,252,215,40.799999
STANFIELD,59844,1297702,363704,221089,254750,219352,246441,184848,1490184,863,242,147,169,146,164,123,991,1504,35.232769,-80.430237,1547,1687,4.45,334.100006,62368,4.7,84.900002,,,35.200001
STANLEY,36399,5509620,1701438,598186,499670,437390,960995,1171385,5369064,1537,475,167,139,122,268,327,1498,3585,35.358452,-81.096817,3525,3558,2.7,1325.400024,40714,11.1,78.199997,127,154,42.700001
STANTONSBURG,29479,3855923,3160846,195055,61605,162414,343430,149297,4072647,4937,4047,250,79,208,440,191,5215,781,35.606121,-77.821167,726,641,0.58,1340.400024,28281,25.4,81.699997,,,46.5
STAR,37614,857429,302038,0,152091,149250,257753,66624,927756,980,345,0,174,171,295,76,1060,875,35.398369,-79.783279,1008,948,1.24,707.900024,31528,29.4,75.699997,28,,33.5
STATESVILLE,36317,76230658,46902999,1992706,6510705,3889352,11671267,7278615,78245644,3089,1900,81,264,158,473,295,3170,24680,35.786789,-80.878532,24714,24803,24.370001,1011.5,33998,26.6,81.900002,2134,,38
STEDMAN,56625,955472,311555,56723,127063,158442,233368,35562,922713,918,299,54,122,152,224,34,886,1041,35.01408,-78.697311,1128,1169,2.08,493.899994,54219,8.5,89.300003,,,32
STEM,55833,273809,3300,0,46488,93154,110341,0,253283,557,7,0,94,189,224,0,515,492,36.200531,-78.723602,838,1018,1.51,306.299988,57917,37.900002,61.5,,,29.700001
STOKESDALE,67801,529908,203224,0,3176,94910,84524,82673,468507,102,39,0,1,18,16,16,91,5176,36.23637,-79.982391,4884,5002,19.4,262.299988,69188,13.7,90.199997,,,38.299999
STONEVILLE,33083,1913043,370222,70505,230664,222066,335690,409750,1638897,1812,351,67,218,210,318,388,1552,1056,36.465839,-79.906342,1200,1229,1.29,817.099976,35061,10.4,78.400002,53,,44.299999
STONEWALL,22328,64555,0,0,0,18502,18751,17074,54327,229,0,0,0,66,66,61,193,282,35.137409,-76.747513,298,282,2.01,164.699997,22135,29.299999,78.599998,,,24.200001
STOVALL,40817,413467,163787,27805,18635,125830,35851,44266,416174,987,391,66,44,300,86,106,993,419,36.446899,-78.568977,328,277,1.05,399.399994,40781,26,84.900002,,,40.799999
SUGAR MOUNTAIN,38594,2014716,0,232683,403353,409787,321641,465923,1833387,10227,0,1181,2047,2080,1633,2365,9307,197,36.123291,-81.855179,459,490,2.45,80.699997,40833,15.9,95.099998,,,43.299999
SUMMERFIELD,96538,1497274,0,492494,0,423883,35835,604692,1556904,143,0,47,0,40,3,58,148,10487,36.19912,-79.885857,9911,10160,26.85,385.299988,102468,4.1,93.400002,,,42.599998
SURF CITY,58477,14814077,4654365,3243040,316464,1227108,2462286,1964380,13867643,7801,2451,1708,167,646,1297,1034,7303,1899,34.428139,-77.543198,2059,2259,9.54,255.100006,60972,8.1,95.599998,170,124,39
SWANSBORO,45809,3747543,0,123776,347115,684687,1255401,1195738,3606717,1386,0,46,128,253,464,442,1334,2704,34.693329,-77.127327,2517,2637,2.24,1273.5,48722,14.8,92.900002,109,126,40.200001
SWEPSONVILLE,65952,1070388,657175,0,0,134524,5585,19835,817119,922,566,0,0,116,5,17,704,1161,36.026741,-79.354851,1254,1138,1.49,821.400024,64545,1.6,90.900002,,,46.700001
SYLVA,32070,3486859,9578,238636,519584,477598,1872391,196362,3314149,1290,4,88,192,177,693,73,1227,2702,35.374199,-83.21769,2573,2627,3.19,811,29600,19.6,75.599998,217,206,38.700001
TABOR CITY,23077,5316540,1103947,154608,428741,456276,976701,1509251,4629524,1340,278,39,108,115,246,380,1167,3968,34.148621,-78.87207,2226,3385,3.17,790.900024,21609,31.700001,74.300003,211,183,48.400002
TARBORO,32299,42998583,31876494,0,1604600,2781330,4078758,1390637,41731819,3796,2814,0,142,246,360,123,3684,11327,35.902851,-77.545959,11390,11401,11.17,1025.300049,33168,19.6,78.099998,561,485,40.900002
TAR HEEL,80000,53988,0,0,11798,29266,0,2160,43224,458,0,0,100,248,0,18,366,118,34.732349,-78.792282,85,101,0.17,679.400024,83333,16.799999,86.300003,,,39.599998
TAYLORSVILLE,28289,3891261,1391091,434174,409100,288229,996618,23969,3543181,1833,655,205,193,136,469,11,1669,2123,35.91787,-81.174561,2426,2253,2.37,886.099976,28051,28,74.199997,202,178,34.299999
TAYLORTOWN,40179,780175,177004,0,31951,220418,198675,38011,666059,1076,244,0,44,304,274,52,919,725,35.216259,-79.495537,1018,1012,1.33,544.200012,36250,20.799999,85.599998,,,38.900002
TEACHEY,24167,398801,145623,30878,10983,110980,18000,49360,365824,1047,382,81,29,291,47,130,960,381,34.769291,-78.006943,327,384,0.93,405.200012,27768,13.3,79.300003,,,32.5
THOMASVILLE,34796,32223160,6003766,5435651,2023806,3373925,9855591,4908106,31600845,1202,224,203,76,126,368,183,1179,26800,35.885849,-80.077316,26507,26760,16.780001,1595.800049,34253,29.200001,75.199997,1396,1479,33.700001
TOBACCOVILLE,50169,609955,0,42739,32488,192934,0,253155,521316,248,0,17,13,78,0,103,212,2462,36.230499,-80.363258,2520,2663,7.68,319.100006,53070,10.7,91.099998,,,40.099998
TOPSAIL BEACH,47574,7083075,852838,281338,95039,381326,669901,3755056,6035498,18939,2280,752,254,1020,1791,10040,16138,374,34.370399,-77.625763,411,366,5.88,83.699997,48988,9.8,97,,,57.799999
TRENTON,22917,240312,118962,7929,23253,44769,10000,5524,210437,820,406,27,79,153,34,19,718,293,35.063671,-77.356071,373,345,0.22,1331.400024,14815,29.799999,87.5,,,44.200001
TRENT WOODS,93442,2243075,0,637722,148965,282330,535572,438385,2042974,536,0,152,36,67,128,105,488,4188,35.083401,-77.091507,4139,4165,3.43,1408,87614,0.4,98.800003,59,94,51.799999
TRINITY,41434,5300240,396246,359919,258395,528720,69459,608964,2221703,797,60,54,39,79,10,92,334,6652,35.87352,-80.010147,6631,6639,17.049999,392.100006,45112,13.9,81.900002,,,46
TROUTMAN,44615,4342618,1082113,416412,501748,632902,1054016,326324,4013515,1760,438,169,203,256,427,132,1626,2468,35.703152,-80.892258,2322,2498,5.39,444.700012,44289,5.3,86.800003,85,100,35.5
TROY,23494,4941071,1234927,271678,301395,698890,731476,1125738,4364104,1459,365,80,89,206,216,332,1289,3386,35.36042,-79.896423,3207,3395,3.63,887.799988,22170,36.5,74.599998,178,126,36.900002
TRYON,40699,4560187,1282919,305575,498836,502132,1091663,805407,4486532,2769,779,186,303,305,663,489,2724,1647,35.208912,-82.238983,1858,1680,2,823.299988,43629,12.6,88.699997,60,73,57.099998
TURKEY,42708,171929,36088,0,18134,61077,0,28936,144235,583,122,0,61,207,0,98,489,295,34.99295,-78.184242,418,395,0.4,736.5,51250,2,61.299999,,,41.700001
UNIONVILLE,64699,407652,0,0,0,267487,0,9011,276498,68,0,0,0,44,0,1,46,6021,35.073238,-80.52092,5930,6020,27.200001,219.899994,63951,2.9,92.199997,,,39.599998
VALDESE,38032,8669188,3582449,600532,261528,715919,1447776,1153483,7761687,1935,800,134,58,160,323,257,1733,4480,35.743271,-81.558662,4514,4507,7.73,582,38333,12.9,85.5,72,73,43.900002
VANCEBORO,37500,1105398,266446,559478,70724,318194,168378,128287,1511507,1086,262,550,69,313,165,126,1485,1018,35.303879,-77.152344,953,830,1.71,586.299988,40156,23.1,82.400002,,,41.5
VANDEMERE,27222,290950,0,6064,33158,50041,0,37849,127112,1145,0,24,131,197,0,149,500,254,35.183788,-76.668007,315,277,1.63,166.899994,35833,4.7,85.599998,,,40
VARNAMTOWN,45938,173731,0,0,14953,61010,200,181889,258052,314,0,0,27,110,0,329,467,553,33.944172,-78.23101,533,565,0.97,596.599976,46944,16.4,79.699997,,,46
VASS,26167,599672,0,35232,81433,114975,276635,115569,623844,827,0,49,112,159,382,159,860,725,35.256451,-79.280968,561,491,3.3,219.600006,26076,28.1,70.5,29,34,46.900002
WACO,31528,64227,0,0,13307,24723,0,16114,54144,200,0,0,41,77,0,50,169,321,35.36203,-81.429123,252,295,0.79,408.399994,30156,30.799999,78.099998,,,34.900002
WADE,29107,331951,82090,24110,74339,92397,36881,10067,319884,589,146,43,132,164,65,18,567,564,35.16177,-78.732979,408,523,1.79,311.399994,32778,30.200001,80.599998,,,35
WADESBORO,32550,6044449,2074988,109667,517534,644727,2258771,518800,6124487,1082,372,20,93,115,405,93,1097,5584,34.968102,-80.071487,5832,5795,6.32,921.5,30581,27.9,81.199997,542,513,38.400002
WAGRAM,34000,631639,181148,31975,105820,71366,126340,47259,563908,761,218,39,127,86,152,57,679,830,34.888039,-79.364052,772,843,1.46,576.5,28625,28.1,78,,,40.299999
WAKE FOREST,72155,54449165,15888366,3411725,6092848,6908527,11360715,8524445,52186626,1752,511,110,196,222,365,274,1679,31086,35.973289,-78.518791,28132,29889,15.22,1995.199951,74221,8.3,95.099998,770,730,34
WALKERTOWN,51396,3243030,0,224128,151374,282411,659996,1982407,3300317,690,0,48,32,60,140,422,702,4703,36.159161,-80.167664,4633,4679,6.61,709.700012,46369,11.2,84,,,44.200001
WALLACE,30337,6646546,1480181,582973,991195,750093,1156355,929985,5890782,1695,377,149,253,191,295,237,1502,3922,34.737251,-77.994629,3901,3970,3.07,1265.5,31442,17.4,64,197,204,34.299999
WALLBURG,65000,1437860,0,0,0,316564,63711,864480,1244755,471,0,0,0,104,21,283,407,3055,36.010139,-80.139214,3022,3048,5.58,546.5,60729,6.9,86,,,44
WALNUT COVE,30917,1710074,547838,135025,84964,267484,418899,137752,1591962,1198,384,95,60,187,294,97,1116,1427,36.29623,-80.141151,1452,1551,2.44,591.5,31100,25.6,71.300003,43,,46.200001
WALNUT CREEK,131875,1563108,590067,178456,1950,617640,222389,268629,1879131,1852,699,211,2,732,263,318,2226,844,35.309361,-77.867523,943,922,1.88,531.400024,121250,1,98.099998,,,50.700001
WALSTONBURG,53125,480594,316121,0,24884,63925,8000,15141,428071,2185,1437,0,113,291,36,69,1946,220,35.595188,-77.697723,282,369,0.41,538.200012,61250,10.3,80.5,,,37.5
WARRENTON,38487,2332800,1230613,173205,145856,155808,485520,90845,2281847,2732,1441,203,171,182,569,106,2672,854,36.400261,-78.156807,1206,1354,0.97,884.799988,34088,15.6,86.199997,32,34,48.799999
WARSAW,23564,4126548,753017,250245,545056,348910,960714,812767,3670709,1344,245,81,177,114,313,265,1195,3071,34.999519,-78.092422,3078,3083,3.05,1000.299988,21838,35.900002,72.300003,193,181,35.700001
WASHINGTON,26352,60231662,36089018,801147,1871670,3906310,5887998,5369223,53925366,6184,3705,82,192,401,605,551,5536,9740,35.55349,-77.052048,9719,9731,9.02,1190,28750,30.1,77.199997,753,804,44.200001
WASHINGTON PARK,64688,313173,0,0,66683,140043,33155,112889,352770,694,0,0,148,311,74,250,782,451,35.533508,-77.032341,589,470,0.26,1707.699951,63897,5.3,99.400002,,,42.299999
WATHA,33125,53740,0,1133,15033,48625,0,0,64791,277,0,6,77,251,0,0,334,194,34.64246,-77.962563,270,286,1.27,149.199997,36250,26.200001,75.699997,,,43.400002
WAXHAW,73188,7521622,0,0,1281208,1132388,1620578,1580405,5614579,730,0,0,124,110,157,153,545,10306,34.9282,-80.744827,9322,9743,11.66,854,76332,6.4,94.400002,215,307,33.5
WAYNESVILLE,37222,23631192,10439753,2083265,2403878,2388449,4094876,2289666,23699887,2382,1052,210,242,241,413,231,2389,9922,35.483231,-82.994507,9915,9864,8.92,1105.900024,36421,18.299999,79.5,452,447,46.799999
WEAVERVILLE,53846,7076706,1310852,880192,487083,705657,2724937,610552,6719273,1902,352,237,131,190,732,164,1806,3721,35.695808,-82.558441,3353,3480,3.44,908.400024,53421,6.3,94.900002,232,231,45.200001
WEBSTER,43125,78664,0,74894,69145,32029,25468,0,201536,216,0,205,189,88,70,0,552,365,35.345261,-83.213463,503,386,1,364.399994,72625,24.6,93.800003,,,38
WELDON,35091,4190362,1112405,141763,604423,517758,1088619,101131,3566099,2543,675,86,367,314,661,61,2164,1648,36.426571,-77.601601,1670,1813,2.84,582,37311,21.4,75,,79,47.5
WENDELL,35864,4620080,0,180371,506616,830207,1198430,1703184,4418807,774,0,30,85,139,201,285,741,5967,35.78212,-78.368187,5751,5892,5.22,1123.099976,38401,17.299999,87.400002,136,,40.200001
WENTWORTH,39798,602855,0,125327,0,215447,96198,74319,511291,215,0,45,0,77,34,26,182,2805,36.401581,-79.743561,2786,2796,14.25,197.899994,52279,10.8,74.300003,,,41.599998
WESLEY CHAPEL,103333,1011653,0,0,0,274536,42345,442113,758994,131,0,0,0,35,5,57,98,7745,35.010029,-80.679161,7083,7462,9.57,787.400024,96073,1.9,94.099998,,,37.799999
WEST JEFFERSON,24034,3072987,838110,269373,453154,484300,574307,307185,2926429,2337,637,205,345,368,437,234,2225,1315,36.39518,-81.491737,1442,1391,2.08,623.599976,21992,40.200001,71.699997,68,99,32.700001
WHISPERING PINES,67572,2609017,0,61288,277790,432800,898648,746833,2417359,871,0,20,93,145,300,249,807,2994,35.255581,-79.370888,2850,2919,4.02,862.400024,76875,1.4,97.5,14,29,51.099998
WHITAKERS,25417,943287,345986,43573,85366,166714,222146,78865,942650,1278,469,59,116,226,301,107,1277,738,36.105949,-77.713577,737,875,0.82,906.700012,27212,17.700001,80.800003,23,34,33.799999
WHITE LAKE,50250,2550144,578248,147072,153115,333561,624170,277967,2114133,3129,710,180,188,409,766,341,2594,815,34.63221,-78.498154,624,757,2.62,815.200012,45714,9.5,84,75,,50.400002
WHITEVILLE,26586,7815183,1905623,479792,413806,420399,2289874,2106417,7615911,1462,356,90,77,79,428,394,1424,5347,34.330101,-78.704536,5293,5347,5.46,987.400024,25473,40.900002,73.400002,605,569,41.700001
WHITSETT,48594,465723,0,0,0,61740,1778,33387,96905,778,0,0,0,103,3,56,162,599,36.07967,-79.566757,622,706,2.66,224.199997,46250,10.5,83,,,46.299999
WILKESBORO,36667,10976313,3656924,1008991,542495,2605081,1983814,519418,10316723,3202,1067,294,158,760,579,152,3010,3428,36.14249,-81.162537,3392,3417,5.9,578.900024,31716,35.099998,77.099998,412,425,42.400002
WILLIAMSTON,22392,9869738,2146816,843588,633432,431330,2549155,2343035,8947356,1818,396,155,117,79,470,432,1648,5428,35.85146,-77.062592,5488,5484,3.84,1433.699951,27036,34.599998,77.800003,544,615,46.299999
WILMINGTON,39764,132084232,10783401,21054786,19172484,16340074,44561663,28709526,140621934,1219,100,194,177,151,411,265,1298,108333,34.223228,-77.912117,105900,107116,53,2067.800049,41428,22.9,88.400002,6370,6528,33.900002
WILSON,36539,237781447,183109568,23385453,6085778,3972636,21758837,14916675,253228947,4841,3728,476,124,81,443,304,5155,49119,35.731091,-77.923508,48681,49086,29.59,1710.300049,36469,26,78.400002,2456,2583,37.299999
WINDSOR,35250,8211659,4847898,181254,283411,487078,830038,1075433,7705112,2297,1356,51,79,136,232,301,2155,3575,35.99815,-76.948967,3523,3579,2.83,1281.300049,31190,26.700001,68.099998,73,,38.099998
WINFALL,37105,760615,129742,76337,110317,235931,80884,36009,669220,1274,217,128,185,395,135,60,1121,597,36.21455,-76.456757,766,672,2.29,260.200012,50066,12.9,88.099998,,,54
WINGATE,41774,2371333,1527834,74449,123045,182847,588953,247088,2744216,667,430,21,35,51,166,69,772,3556,34.98502,-80.44725,3472,3536,1.99,1754.900024,42888,18.9,84.199997,104,130,22.700001
WINSTON-SALEM,41228,355478666,86940652,77040595,35971728,26812580,98819258,73271211,398856024,1531,375,332,155,116,426,316,1718,232143,36.10276,-80.26049,227691,230030,133.699997,1733.599976,40869,22,85.5,15439,15257,34.400002
WINTERVILLE,56926,15294880,7673041,922289,600556,2530752,1678150,939735,14344523,1637,821,99,64,271,180,101,1535,9344,35.52993,-77.400017,8836,9117,4.6,2015.699951,62923,11.6,90.099998,202,125,33.799999
WINTON,28235,1007956,382385,64177,142057,137625,34299,21698,782241,1351,513,86,190,184,46,29,1049,746,36.390018,-76.935783,766,853,0.86,940.700012,22875,41.200001,74,,,43.900002
WOODFIN,40526,2806944,0,50331,228795,582068,1202854,491403,2555451,448,0,8,37,93,192,78,408,6266,35.636372,-82.582489,6017,6044,9.2,696.700012,37301,24,82.400002,131,127,37.799999
WOODLAND,28646,694168,161450,31098,129998,82830,148128,0,553504,872,203,39,163,104,186,0,695,796,36.329048,-77.217247,1154,1170,1.25,646.400024,23438,34.5,62.599998,,,42.200001
WRIGHTSVILLE BEACH,72656,11860690,1665720,873002,583599,1761120,4579715,1670253,11133409,4756,668,350,234,706,1836,670,4464,2494,34.211189,-77.798637,2519,2504,2.28,1773.400024,72667,24,98.699997,213,217,34.200001
YADKINVILLE,32188,4357291,2251111,69217,282996,460430,938379,259518,4261651,1466,757,23,95,155,316,87,1433,2973,36.132702,-80.660873,2937,2958,2.79,1064.300049,32663,34.599998,75.599998,161,142,36.900002
YANCEYVILLE,13084,3261550,930031,618549,44852,363714,119992,803656,2880794,1609,459,305,22,179,59,396,1421,2027,36.40704,-79.341553,2263,2094,5.56,369.200012,13505,51.5,60.599998,,,39.400002
YOUNGSVILLE,35455,1799493,345108,40792,112908,202362,647699,203335,1552204,1538,295,35,97,173,554,174,1327,1170,36.025311,-78.477089,1206,1286,1.62,715.400024,35583,8.7,84.699997,23,35,31.9
ZEBULON,45625,8052703,128188,2247455,1185017,1376590,3107475,1934600,9979325,1792,29,500,264,306,692,431,2221,4493,35.82552,-78.316673,4446,4489,4.16,1071.400024,50786,20.700001,72.699997,317,,43.299999
